ID,Nickname,School Name,Active,Payment Through Us,Location Type,Location Phone,Address,City,State,Zip Code,Geographic Area,Point of Contact,POC Title,POC Phone,POC Email,Contractor,Location Enrollment,Demo Allowed,Demo Start Time,Demo Type,Base Professor Pay,Retained Client,Class Pricing Type,School Cut Type,School Cut,Virtus Required,TB Required,Livescan Required,Livescan Info,Contract/Permit Required,Contract/Permit Notes,Special Info Required,Flyer Required,Registration Link for Flyer,Custom Flyer Required,Custom Flyer Items Required,Flyer Quantity,Parking Information,Attendance Required,Demo Length,Unknown,School Procedure Info,Internal Notes,Observes Allowed,Jewish,Set Dates Ourselves,Number of Weeks,School Calendar Link,Client Manager,Invoicing Notes,Class 1 Type,Class 1 Grades,Class 1 Day,Class 1 Start Time,Class 1 Length (Minutes),Class 1 Cost,Class 1 Lab Fee per Week,Class 1 Minimum Students,Class 1 Maximum Students,Class 2 Type,Class 2 Grades,Class 2 Day,Class 2 Start Time,Class 2 Length (Minutes),Class 2 Cost,Class 2 Lab Fee per Week,Class 2 Minimum Students,Class 2 Maximum Students,Class 3 Type,Class 3 Grades,Class 3 Day,Class 3 Start Time,Class 3 Length (Minutes),Class 3 Cost,Class 3 Lab Fee per Week,Class 3 Minimum Students,Class 3 Maximum Students,Class 4 Type,Class 4 Grades,Class 4 Day,Class 4 Start Time,Class 4 Length (Minutes),Class 4 Cost,Class 4 Lab Fee per Week,Class 4 Minimum Students,Class 4 Maximum Students,Class 5 Type,Class 5 Grades,Class 5 Day,Class 5 Start Time,Class 5 Length (Minutes),Class 5 Cost,Class 5 Lab Fee per Week,Class 5 Minimum Students,Class 5 Maximum Students,Class 6 Type,Class 6 Grades,Class 6 Day,Class 6 Start Time,Class 6 Length (Minutes),Class 6 Cost,Class 6 Lab Fee per Week,Class 6 Minimum Students,Class 6 Maximum Students
6767,OMSD HOWARD,Howard Elementary School,Yes,No,School,(909) 591-2339,4650 West Howard St,Montclair,CA,91763,West Inland Empire,Sophia,Coordinator,9096308520,Sophia.Barrera@omsd.net,Ontario Montclair Unified,300,No,,No,75,Yes,Flat Fee,,,No,No,No,,No,,,No,,No,,Last Class,TBD,Yes,,,https://docs.google.com/document/d/1_WbBCw43ySYFN5CRNUAGsX_ixdJDmDYb37cUOO1fWzc/edit?usp=sharing,,,No,No,,,Sam,detailed notes https://docs.google.com/document/d/1M-7FPJa3O2p-yM0A9rITBbOvMz8c5zaI822_giNH2Ho/edit?tab=t.0 and in Quickbooks Customer Pane,Science,TK-1,Monday,8:10 AM,8/2/1900,1400,,0,25,Engineering,2-7,Monday,8:10 AM,10/31/1903,,,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4787,7 ARROWS,7 Arrows,Yes,No,School,(310) 230-0257,15240 La Cruz Dr,Pacific Palisades,CA,90272,West LA,Sacha,Coordinator,,skeckin@sevenarrows.org ,,140,No,,,,No,Per Student,,,No,No,No,,,,,No,Register through 7 Arrows,,,,,Yes,,,,,,No,No,8,https://sevenarrows.org/community/school-calendar/,Catie,,Science,2-6,Thursday,3:30 PM,60,20,0,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5519,CWC ADAT PLUS EAST VALLEY,CWC East Valley,Yes,No,School,(818) 766-4992,12020 Burbank Blvd,Valley Village,CA,91607,Valley,Janet,Enrichment Coord,8187669426 ext 200,"adatplus@adatariel.org
jbornstein@adatariel.org",Adat+,,Yes,,,,No,Per Student,,,No,No,No,,,,,No,Register through Adat+,,,,Easy,Yes,,,https://docs.google.com/document/d/1SWEOfYlAhu8IFWoaFcm23ZL_tA8UMw_w9hzccVnYP6c/edit,,,Yes,No,,https://aaeds.org/calendar/2020-01,Sam,"Do not use the CWC google form, send invoice through email to adatplus@adatariel.org",Science,TK-3,Monday,3:15 PM,2/28/1900,$22.00,,8,14,Engineering,TK-3,Wednesday,1:00 PM,2/28/1900,22,,8,14,Science,2-4,Monday,4:15 PM,2/28/1900,22,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
4786,ADAT (PK),Adat (PK),No,No,School,818-766-9426,12020 Burbank Blvd,Valley Village,CA,91607,Valley,Shelby,Coordinator,,SFine@adatariel.org,,,Yes,,,,No,Per Student,,,No,No,No,,,,,No,Register through Adat,,,,Easy,Yes,,,https://docs.google.com/document/d/1xWe3SykE9-FFhNED0kslPNMLXoZXGAKjR7l--2WtVoE/edit,No ID Cards unless approved first,,Yes,No,,,Sam,,Science,PK,Tuesday,3:15 PM,2/13/1900,$20.00,,8,14,Science,PK,Thursday,3:15 PM,2/13/1900,20,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4790,AGBU,AGBU MDS,Yes,No,School,(818) 883-2428,6844 Oakdale Avenue,Canoga Park,CA,91306,Valley,Natalie,Director of Curriculum,818-883-2428,nberberian@agbumds.org,,,,,,,No,Per Student,,"School takes addtional $40 for K and up, additional $39 for PK. Price classes as we normally would (EG - we're not losing money - they're just adding more on top)",No,No,No,,,,,Yes,Register through AGBU MDS,"Please add $10 to PK price and $20 to K-4th price
Instead of ""PK"", please list grade level as ""ANP4""",,200,Street,Yes,,,https://docs.google.com/document/d/1OAjgeWgQHLqi5XTZuEpByn1GCFicCp4mbDccyuAYpZA/edit,,,,Yes,,https://www.agbumds.org/apps/pages/index.jsp?uREC_ID=453247&type=d&pREC_ID=978232,Sam,,Science,PK,Wednesday,3:30 PM,2/13/1900,$21.00,,8,15,Engineering,K-4,Thursday,3:30 PM,2/28/1900,$22.00,,7,15,Science,K-2,Thursday,3:30 PM,2/28/1900,21,,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
4850,CALABASAS,Calabasas Community Center,No,No,School,8184798180,27040 Malibu Hills Rd,Calabasas,CA,91301,Deep Valley,Lana,Rec Coordinator,818-479-8174,lfilice@cityofcalabasas.com,,,,,0.3,,No,Per Student,Percentage,30%,No,No,Yes,https://docs.google.com/document/d/10B8s3sM0J4VFB5jeTGlLOexuyb6ee29vvvdmloL-Bwg/edit?usp=drive_link,,,,Yes,TBD,Yes,Logo,,,Yes,,,https://docs.google.com/document/d/1vLWZnORFhmKthfTwmbIn7ileepkyxzyCapjJ0Bxy8sg/edit?usp=drive_link,,,,YES,,,Sam,,Science,K-3,M-F,9:00 AM,12/25/1900,$400.00,$80,12,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4791,CALIFORNIA CREATIVE EAGLE ROCK,California Creative Learning Academy Eagle Rock,Yes,Yes,School,323-274-4524,2709 Media Center Dr,Los Angeles,CA,90065,East LA,Ryan,CAP Coordinator,323.539.2810 x337,ryan@calcreative.org,,,Yes,2:00 PM,,,No,Per Student,,,No,No,No,,,,,Yes,ProfessorEgghead.com/register,,,25,,Yes,,,https://docs.google.com/document/d/1HFcHA3Acmvs4-4aKwP7X73kE4sijPDcoeh5Lo6sVS7I/edit?usp=drive_link,,,,Yes,,,Sam,,Engineering,K-3,Tuesday,2:15 PM,2/28/1900,$22.00,,7,14,Science,K-3,Thursday,3:15 PM,2/28/1900,$22.00,,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,ALISO,Aliso Viejo Christian School,No,Yes,School,(949) 389-0300,1 Orion,Aliso Viejo,CA,92656,North OC,Sarah,,,sbechtel@avchristianschool.org,,,YES,11:15 AM - 12:15 PM,,,No,Per Student,,,No,No,No,,,,,Yes,ProfessorEgghead.com/register,,,175,,Yes,,,,SCIENCE TEACHER IS CURRENTLY RUNNING ENRICHMENT. CHECK IN AGAIN LATER,,No,Yes,,https://www.alisoviejochristianschool.org/2019-2020-school-calendar/,Sam,,Science,K-3,Wednesday,3:15 PM,60,$18.00,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,ALL SAINTS,All Saints,No,No,School,(323) 225-7264,3420 Portola Ave,Los Angeles,CA,90032,East LA,Maria,,,allsaintshusky@yahoo.com,,,Yes,10:00 AM,,,No,Per Student,,,No,No,No,,,,,Yes,Register through All Saints,,,40,Street,Yes,,,https://docs.google.com/document/d/e/2PACX-1vQ-1u5oijmaEFNP2F2BgViFznZ5pbYNs2AlNLURukg4WIHFGF0B-HJjjnZBvlphy66Er2_27_oET6mi/pub,,,,Yes,4,,Sam,,Science,K-3,Monday,12:45 PM,60,$17.00,,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ALL SOULS,All Souls School,Yes,No,School,(626) 282-5695,29 S Electric Ave,Alhambra,CA,91801,East LA,Brandyn,Coordinator,,bcardenaz@allsoulsla.org,,198,,,0.2,,No,Per Student,Percentage,20%,Yes,No,Yes,Take the Attached form to any Livescan Facility,,,,Yes,https://popsicle.app/parents/AllSouls/login,,,250,Easy,Yes,,,https://docs.google.com/document/d/1vFC3aU1YCPAKTq06D6pAHL9vX8EmuY7mgxCIUwSHTbw/edit?usp=drive_link,,,,No,,,Sam,,Engineering,TK-3,Tuesday,3:30 PM,2/28/1900,$25.00,,7,15,Science,TK-3,Thursday,3:30 PM,2/28/1900,$25.00,,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
